WK,Date,MKT,Platform,Cluster,Category/Campaign,Change Note,Pending,Reference,Impact,Owner,
8,2/25/2024,US,Bing Ads,NB,NB Regs M/T tCPA,TCPA $100 to $110,,,,Stacey,
8,2/25/2024,US,G Ads,RLSA,NB RLSA Non-AVT Max Conv,TCPA $100 to $80,,AMO CPA always higher than $110,,Stacey,
8,2/25/2024,US,G Ads,AVT,AVT-All & DD_Device Consolidation,TCPA $95 to $90,,,,Stacey,
8,2/25/2024,US,G Ads,PB,Pure Broad Set 2 Max Conv.,TCPA $90 to $80,,,,Stacey,
8,2/25/2024,US,G Ads,PB,Non AVT PB_Device Consolidation_Phase 7,Budget $7K to $8.6K,,increase bids to see if can maintain AMO CPA as $90,,Stacey,
8,2/26/2024,US,G Ads,AVT,AVT-DD & All,Budget $2.5K to $5.6K based on budget alert,,,,Stacey,
9,2/27/2024,US,G Ads,NB,Seller: Non-Brand - [D] [BMM],Enabled 'Reseller Product KWs Test' ad group under campaign 'Seller: Non-Brand - [D] [BMM]' to test [product] resell KWs.,,,,Katy,
9,2/27/2024,CA,G Ads,Brand,Brand Plus,Add tCPA cap $50 to Brand Plus portfolio as WK8 AMO CPA is high at $76.73,,,,Katy,
8,2/27/2024,US,G Ads,PB,PB Phase 9,"Device Consolidation_9_All Dev; target all devices, TCPA $90 with budget $8.5K; bidding portfolio: Non AVT PB_Device Consolidation_Phase 9",,,,Stacey,
8,2/27/2024,US,G Ads,PB,PB Phase 9,Device Consolidation_8_Mobile Off; Paused mobile campaigns,,,,Stacey,
8,2/27/2024,US,G Ads,PB,PB Phase 9,Enabled missed kws on related desktop campaign,,,,Stacey,
8,2/27/2024,US,G Ads,RLSA,NB RLSA Non-AVT Max Conv,TCPA $80 to $60,,,,Stacey,
