=== BRAND SHEET ===
1: Campaign	(Multiple Items)																											
2: Account	(Multiple Items)																											
3: 	*October launch																											
4: 	Column Labels																											
5: 	2019	2020				2021				2022				2023				2024				2025				2026		
12: Sum of REF_Registrations_2(CT+VT)	0	3225.32	1069	1839.53	2398.56	5429.74	5252.03	4503.1	7282.35	12111.88	7456.53	7491.9	7389.17	12460.9	5765.83	6824.26	5031.98	9505.15	4975.95	3904.81	2870.19	3841.65	2257	4205	3331	578		
13: Sum of CPA (RefReg2)	#DIV/0!	87.6	174.56	239.63	291.22	140.32	213.31	228.36	171.07	104.08	231.86	190.7	210.6	98.76	130.27	146.21	101.31	50.58	116.77	137.06	190.94	122.97	160.59	122.87	154.29	148.65		
14: Sum of Reg	0	3225.32	1069	1839.53	2398.56	5429.74	5252.03	2898.05	6262.17	8598.94	6707.76	6615.95	6978.58	9538.45	5751.91	6801.13	5188.99	8158.57	5444.47	4052.4	3219.59	3064.82	2381	4328.5	3607	586		
15: Sum of CPA (Reg)	#DIV/0!	87.6	174.56	239.63	291.22	140.32	213.31	354.83	198.94	146.6	257.75	215.95	222.99	129.02	130.59	146.71	98.24	58.93	106.72	132.07	170.22	154.14	152.22	119.36	142.49	146.62		
16: Sum of CPC	1.76	1.53	1.36	0.97	1.58	2.1	2.25	2.34	2.27	1.89	2.9	2.61	1.63	2.19	2.22	2.66	2.8	2.19	2.08	1.81	2.37	3.35	3.33	2.52	2.35	2.34		
19: Campaign	(Multiple Items)																											
20: Account	Amazon Business MX																											
21: 	*March launch																											
22: 	Column Labels																											
23: 	2024				2025				2026																			
24: 	Qtr1	Qtr2	Qtr3	Qtr4	Qtr1	Qtr2	Qtr3	Qtr4	Qtr1																			
25: Values																												
26: Sum of Cost	35540.53	266484.04	336409.6	447581.72	389908.29	307981.02	161475.61	143530.65	24748.28																			
27: Sum of Clicks	22371	166993	267395	208950	158499	126286	115792	115049	24862																			
28: Sum of EFID RefMarker Reg(CT+VT)	205	1411	2237	1685	1480	1534	1289	1247	220																			
29: Sum of CPA (EFID-Ref)	173.37	188.86	150.38	265.63	263.45	200.77	125.27	115.1	112.49																			
30: Sum of Reg	205	1411	2237	1685	1480	1534	1289	1247	220																			
31: Sum of CPA (Reg)	173.37	188.86	150.38	265.63	263.45	200.77	125.27	115.1	112.49																			
32: Sum of CPC	1.59	1.6	1.26	2.14	2.46	2.44	1.39	1.25	1.0																			
35: Campaign	(Multiple Items)																											
36: Account	Amazon Business AU																											
37: 	*June launch																											
38: 	Column Labels																											
39: 	2025			2026																								
40: 	Qtr2	Qtr3	Qtr4	Qtr1																								
41: Values																												
42: Sum of Cost	70167.05	554421.67	365908.54	72103.32																								
43: Sum of Clicks	12588	93741	84764	17570																								
44: Sum of EFID RefMarker Reg(CT+VT)	0	839	1834	343																								
