Search terms report
"March 15, 2026 - March 28, 2026"
Search term,Match type,Added/Excluded,Campaign,Ad group,Keyword,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost,Source
productos de limpieza mayoreo guadalajara,Phrase match (close variant),None,MX - Janitorial,Wholesalers_Phrase,"""mayoristas de artículos de limpieza""",1,2,50.00%,USD,2.84,2.84,Keyword
limpiador de canceles de vidrio,Phrase match (close variant),None,MX - Janitorial,Supply_Phrase,"""suministros de limpieza""",1,1,100.00%,USD,0.56,0.56,Keyword
ropa de bebe mayoreo,Phrase match (close variant),None,MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",1,2,50.00%,USD,0.60,0.60,Keyword
mio mio ropa mayoreo,Phrase match (close variant),None,MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",1,2,50.00%,USD,0.87,0.87,Keyword
donde comprar ropa para revender,Exact match (close variant),None,MX - Apparel,Clothing_Phrase,"""comprar ropa para vender""",1,4,25.00%,USD,1.34,1.34,Keyword
proveedores de maquillaje en guadalajara,Phrase match (close variant),None,MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",1,4,25.00%,USD,1.55,1.55,Keyword
costo extintores,Phrase match (close variant),None,MX - Crafts,Professional Tools_Procurement_Phrase,"""suministro de extintores""",1,1,100.00%,USD,2.21,2.21,Keyword
venta de celulares al por mayor,Phrase match (close variant),None,MX - Crafts,Professional Tools_Wholesalers_Phrase,"""mayorista de equipos""",1,1,100.00%,USD,0.59,0.59,Keyword
importador de herramientas,Phrase match (close variant),None,MX - Crafts,Home Accessories_Distributor_Phrase,"""distribuidor de suministros""",1,1,100.00%,USD,0.59,0.59,Keyword
distribuidor mayorista de celulares,Phrase match (close variant),None,MX - Crafts,Professional Tools_Wholesalers_Phrase,"""mayorista de equipos""",1,2,50.00%,USD,5.41,5.41,Keyword
cupon amazon business,Phrase match (close variant),None,MX - Brand Phrase,Pure_Phrase,"""amazon para empresas""",9,28,32.14%,USD,0.11,0.97,Keyword
