Search term,Match type,Campaign,Ad group,Keyword,Clicks,Impr.,Cost
amazon seller login,Phrase match (close variant),MX - Invoice AMZ,Invoice_Phrase,"""a cuenta amazon""",15,126,32.89
proveedores chinos,Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",15,99,32.33
amazon kdp mexico,Phrase match (close variant),MX - Brand Phrase,Pure_Phrase,"""amazon empresa""",15,128,52.12
amazon business precio,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta de empresa en amazon""",15,98,24.97
sillas para escritorio,Exact match (close variant),MX - Office,Furniture_Exact,[sillas oficina],15,162,28.5
lucky gummys precio mayoreo,Phrase match (close variant),MX - Food,Food_Wholesalers_Phrase,"""mayoristas de dulces""",15,75,18.94
proveedores de ropa por mayoreo,Exact match (close variant),MX - Apparel,Clothing_Exact,[ropa para vender por mayoreo],15,77,18.32
pink up mayoreo,Phrase match (close variant),MX - Beauty,Makeup_Wholesale_Phrase,"""productos de belleza al por mayor""",15,94,24.6
cosas por mayoreo para vender,Exact match (close variant),MX - Generic,Wholesales_Suppliers_Exact,[proveedores al por mayor],14,84,16.89
distribuidores de tintes por mayoreo,Phrase match (close variant),MX - Beauty,Hair Styling_Distributors_Phrase,"""distribuidores de productos para el cabello""",14,48,32.78
venta por mayoreo,Exact match (close variant),MX - Generic,Wholesales_Exact,[venta al por mayor],14,50,33.9
maquillaje por mayoreo,Exact match (close variant),MX - Beauty,Makeup_Wholesale_Exact,[mayorista de maquillaje],14,80,19.6
cupon amazon business,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta amazon business""",14,39,12.88
amazon para empresas,Exact match,MX - Brand Exact,Pure_Exact,[amazon para empresas],14,28,2.11
proveedores de gorras,Exact match (close variant),MX - Apparel,Accessories_Distributor_Exact,[distribuidores de gorras],14,75,14.6
silla oficina,Exact match (close variant),MX - Office,Furniture_Exact,[sillas oficina],14,239,23.47
silla escritorio,Exact match (close variant),MX - Office,Furniture_Exact,[sillas oficina],14,256,23.05
factura de amazon,Exact match,MX - Invoice AMZ,Invoice_Phrase,"""factura de amazon""",14,64,54.39
mesas para cafeteria,Phrase match (close variant),MX - Food,Furniture_Restaurant_Phrase,"""muebles para cafetería""",13,144,14.23
venta de sillas y mesas por mayoreo precio,Phrase match (close variant),MX - Generic,Wholesales_Buy_Phrase,"""tienda al por mayor en línea""",13,97,24.2
venta de maquillaje por mayoreo,Exact match (close variant),MX - Beauty,Makeup_Supplier_Exact,[proveedor de maquillaje],13,36,35.57
vasos de vidrio mayoreo economicos,Phrase match (close variant),MX - Food,Cultlery_Suppliers_Phrase,"""proveedores de cristalería""",13,29,23.01
proveedor de perfumes,Exact match (close variant),MX - Beauty,Fragrance_Wholesale_Exact,[perfume al por mayor],13,48,13.3
amazon business descuento,Phrase match (close variant),MX - Brand Phrase,Account_Phrase,"""cuenta de empresa en amazon""",13,30,2.41
productos para revender,Phrase match (close variant),MX - Generic,Core_Suppliers_Products_Phrase,"""proveedor productos""",13,47,14.02
hat one mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",13,101,16.83
hat one mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",13,65,17.65
venta mayoreo,Exact match (close variant),MX - Generic,Wholesales_Exact,[venta al por mayor],13,85,20.99
proveedores de gorras originales,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",13,38,13.94
sudaderas mayoreo,Exact match (close variant),MX - Apparel,Tops_Wholesales_Exact,[comprar sudaderas al por mayor],13,62,29.42
ropa para revender directo de fábrica,Phrase match (close variant),MX - Apparel,Clothing_Phrase,"""ropa por mayoreo""",13,73,11.43
tintes a precio de fábrica,Phrase match (close variant),MX - Beauty,Hair Styling_Distributors_Phrase,"""distribuidores de productos para el cabello""",13,41,29.72
cómo facturar en amazon,Exact match,MX - Invoice AMZ,Invoice_Phrase,"""cómo facturar en amazon""",13,76,27.4
mini botellas de tequila al por mayoreo,Phrase match (close variant),MX - Food,Food_Distributor_Phrase,"""distribuidor de bebidas""",13,49,18.54
mobiliario para cafeteria,Exact match (close variant),MX - Food,Furniture_Restaurant_Exact,[muebles para cafetería],13,112,17.93
papelería mayoreo,Exact match (close variant),MX - Office,Wholesales_Exact,[comercio al por mayor de artículos de papelería],13,60,18.03
dulces americanos mayoreo,Phrase match (close variant),MX - Food,Food_Wholesalers_Phrase,"""mayoristas de dulces""",13,28,17.7
productos de limpieza,Exact match (close variant),MX - Janitorial,Purchasing_Supplies_Exact,[comprar artículos de limpieza],12,730,25.9
tiendas mayoristas,Exact match (close variant),MX - Generic,Wholesales_Exact,[venta al por mayor],12,97,22.6
playeras dry fit mayoreo,Phrase match (close variant),MX - Apparel,Sportwear_Wholesales_Phrase,"""ropa deportiva al por mayor""",12,99,25.17
airone mayoreo,Phrase match (close variant),MX - Generic,Wholesales_Phrase,"""al por mayor""",12,146,18.02
productos por mayoreo,Exact match (close variant),MX - Generic,Wholesales_Suppliers_Exact,[proveedores al por mayor],12,35,7.84
proveedores de dulces al mayoreo para negocio,Phrase match (close variant),MX - Food,Food_Wholesalers_Phrase,"""mayoristas de dulces""",12,80,16.2
distribuidora de papelería,Exact match (close variant),MX - Office,Wholesales_Exact,[comercio al por mayor de artículos de papelería],12,76,20.15
productos para revender,Phrase match (close variant),MX - Generic,Wholesales_Products_Phrase,"""artículos al por mayor""",12,32,14.26
