Keyword status	Keyword	Match type	Campaign	Ad group	Status	Impr.	Clicks	Cost	Final URL
Enabled	amazon compra por mayor	Broad match	MX - Generic AMZ	Generic_Wholesales_Broad	Eligible	829	185	466.28	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Generic_AMZ_817483811750
Enabled	venta por mayor amazon	Broad match	MX - Generic AMZ	Generic_Wholesales_Broad	Eligible	123	19	61.85	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Generic_AMZ_1544384919780
Enabled	"""zapatos en venta al por mayor"""	Phrase match	MX - Shops	Shops_Wholesales_Clothing_Phrase	Limited	859	112	210.6	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Shops_1433380357180
Enabled	"""ropa en venta al por mayor"""	Phrase match	MX - Shops	Shops_Wholesales_Clothing_Phrase	Limited	162	23	39.82	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Shops_356522755882
Enabled	"""proveedores de libros"""	Phrase match	MX - Shops	Shops_Suppliers_Books Shop_Phrase	Limited	179	10	11.58	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Shops_394879071597
Enabled	"""libros al por mayor"""	Phrase match	MX - Shops	Shops_Wholesales_Books Shop_Phrase	Limited	182	22	68.4	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Shops_329280506566
Enabled	"""distribuidores de calzado"""	Phrase match	MX - Shops	Shops_Distributors_Clothing_Phrase	Limited	779	126	192.15	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Shops_403355143157
Enabled	"""mobiliario para tiendas"""	Phrase match	MX - Shops	Shops_Furniture_Phrase	Limited	"1,301"	149	163.12	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Shops_296657655328
Enabled	[teléfono móvil al por mayor]	Exact match	MX - Electronics	Cell Phones_Wholesale_Exact	Limited	21	12	11.54	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Electronics_427699643745
Enabled	"""productos para el cuidado de la piel al por mayor"""	Phrase match	MX - Beauty	Skin Care_Wholesale_Phrase	Limited	172	23	36.42	https://business.amazon.com.mx/es/cp/belleza-cuidado-del-cabello?ref=pd_sl_MX_Beauty_1434882113443
Enabled	"""mayorista de productos para el cuidado de la piel"""	Phrase match	MX - Beauty	Skin Care_Wholesale_Phrase	Eligible	"1,411"	172	378.46	https://business.amazon.com.mx/es/cp/belleza-cuidado-del-cabello?ref=pd_sl_MX_Beauty_2199444825565
Enabled	[distribuidor de cosmética]	Exact match	MX - Beauty	Distributors_Cosmetics_Exact	Limited	296	15	26.53	https://business.amazon.com.mx/es/cp/belleza-cuidado-del-cabello?ref=pd_sl_MX_Beauty_365743893330
Enabled	[proveedores de barbería]	Exact match	MX - Beauty	Suppliers_Hair_Exact	Limited	70	9	18.03	https://business.amazon.com.mx/es/cp/belleza-cuidado-del-cabello?ref=pd_sl_MX_Beauty_830780611626
Enabled	[distribuidores de artículos de limpieza]	Exact match	MX - Janitorial	Distributors_Exact	Limited	52	4	5.94	https://business.amazon.com.mx/es/cp/janitorial-sanitation?ref=pd_sl_MX_Janitorial_839470305025
Enabled	"""comprar accesorios para camiones"""	Phrase match	MX - Automotive	Purchasing_Phrase	Eligible	697	83	111.6	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Automotive_356191644206
Enabled	"""comprar accesorios para automóviles"""	Phrase match	MX - Automotive	Purchasing_Phrase	Eligible	62	13	16.6	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Automotive_1222113232720
Enabled	"""alimentos al por mayor"""	Phrase match	MX - Food	Food_Wholesale_Phrase	Limited	"14,069"	"1,220"	2122.81	https://business.amazon.com.mx/es/cp/food-service?ref=pd_sl_MX_Food_313886013551
Enabled	"""mayorista de regalos"""	Phrase match	MX - Shops	Shops_Wholesalers_Gifts_Phrase	Limited	311	41	88.3	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Shops_300817746883
Enabled	"""proveedores de tiendas de mascotas"""	Phrase match	MX - Shops	Shops_Suppliers_Pet Shop_Phrase	Limited	971	111	226.86	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Shops_367391881325
Enabled	"""proveedores de tiendas de animales"""	Phrase match	MX - Shops	Shops_Suppliers_Pet Shop_Phrase	Limited	181	22	46.82	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Shops_386683454842
Enabled	"""accesorios para el cabello al por mayor"""	Phrase match	MX - Shops	Shops_Wholesales_Accessories_Phrase	Limited	307	26	83.93	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Shops_422456835503
Enabled	"""venta mayorista de accesorios de moda"""	Phrase match	MX - Shops	Shops_Wholesales_Accessories_Phrase	Limited	848	99	247.05	https://business.amazon.com.mx/es/cp/selection?ref=pd_sl_MX_Shops_316305397905
